date,target_5tc,source,source_sentence,tc_lag_1,tc_lag_2,tc_lag_3,tc_lag_4,tc_mean_4,tc_std_4,target_date,target_next_5tc,days_to_target
2020-03-09,2542.0,https://www.drycargomag.com/dry-bulk-week-10,"The Capesize 5TC market closed out the week at $2,542.",2274.0,2787.0,2445.0,4772.0,3069.5,1154.864061264351,2020-03-16,2797.0,7.0
2020-03-16,2797.0,https://www.drycargomag.com/dry-bulk-week-11,"The Capesize 5TC opened the week at $2,542 to close at $2,797.",2542.0,2274.0,2787.0,2445.0,2512.0,214.2101771625021,2020-03-23,4067.0,7.0
2020-03-23,4067.0,https://www.drycargomag.com/dry-bulk-week-12,"With the market in a constant state of flux on a seemingly endless news cycle, increasing restrictions and disruptions, the Cape 5TC managed a lift out of its recent range to settle the week at $4,067, a lift of +$1,270 for the week.",2797.0,2542.0,2274.0,2787.0,2600.0,247.26369190264035,2020-03-30,3675.0,7.0
2020-03-30,3675.0,https://www.drycargomag.com/dry-bulk-week-13,"The Cape 5TC closed out the week at $3,675, down -392.",4067.0,2797.0,2542.0,2274.0,2920.0,793.9223303741098,2020-04-06,5949.0,7.0
2020-04-20,9875.0,https://www.drycargomag.com/dry-bulk-week-16,"The Capesize 5TC opened the shortened week at $6,762 to close out at $9,875.",5949.0,3675.0,4067.0,2797.0,4122.0,1328.7071410460082,2020-04-27,8381.0,7.0
2020-06-08,7307.0,https://www.drycargomag.com/dry-bulk-week-23,"t Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 23 08 June 2020 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The small flicker of hope at the beginning of this week has kindled a small fire under the Capesize market. At a paltry $3369 from the beginning of the week, the Capesize 5TC has lifted to $7307 with momentum continuing to build. Led by strong iron ore demand, the fronthaul long ton mile business has heeded the call. The transatlantic business, in contrast, continues to severely lag other regions, giving a strong indication of the continuing weak industrial output owing to Covid-19. The transatlantic C8 closed the week up +875 to $4075 with some suggesting that level to be quite generous considering the serious lack of business. The Pacific basin – and in particular iron ore from Western Australia to China – had strong activity for the second half of this week catching some by surprise. The C5 West Australia to Qingdao opened the week at $4.123 to close at $5.473. Fuel price increase had its part to play this week, lifting voyage prices. But once momentum had built, rates quickly outpaced. Panamax A better week all round, with the timecharter average climbing $345 on the week to Thursday. This was driven predominantly by both the US Gulf, and EC South American fronthaul markets, with P2A gaining $759 on the week to Thursday, whilst the underlying voyage routes both posted gains of $1.06, and $0.76 respectively. In the latter stages of the week, Kamsarm",8381.0,9875.0,5949.0,3675.0,6970.0,2728.2113798848727,2020-06-15,12410.0,7.0
2021-01-11,16633.0,https://www.drycargomag.com/dry-bulk-week-1-2021,"The Capesize 5TC ended 2020 at $16,633 and now closes out its opening week of 2021 at a resounding $21,131.",12712.0,14421.0,19952.0,30000.0,19271.25,7791.409430691385,2021-01-18,23989.0,7.0
2021-02-15,10304.0,https://www.drycargomag.com/dry-bulk-week-6-2021,"The Capesize 5TC registered a token drop of eight to settle at $10,304 as minimal trading was heard.",15675.0,23989.0,16633.0,12712.0,17252.25,4791.271882287623,2021-02-22,14224.0,7.0
2021-02-22,14224.0,https://www.drycargomag.com/dry-bulk-week-7-2021,"From last Friday at $10,304, the Capesize 5TC reached a high on Wednesday of $15,856 before retreating to close the week out at $14,224.",10304.0,15675.0,23989.0,16633.0,16650.25,5629.788354518014,2021-03-01,11934.0,7.0
2021-03-01,11934.0,https://www.drycargomag.com/dry-bulk-week-8-2021,"Dry Bulk: Week 8 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 8 01 March 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The market took on a mild downward slide during this week with the 5TC opening at $14,224 to close out at $11,934. The Pacific basin on its own showed a little more stability, remaining largely flat on the transpacific C10 and ending the week at exactly $11,500. The transatlantic C8 had a little less resilience as it dropped $2,550 to $15,025, which is albeit still a solid premium to the Pacific. Pockets of resistance are said to be building from Owners as the outlook remains firm and last week’s volatility remains in recent memory. The Brazil to China C3 route came under sustained pressure this week dropping $1.885 to $15.49 in the face of increasing bunker prices. The ballaster routes being fully restocked with tonnage are taking the pressure off the Pacific, yet any routes along the ballaster path have paid the cost. The earnings for the C3 on a standard Baltic 180,000-dwt vessel are currently in the $7,000-8,000/day range on a time charter equivalent basis. Owner optimism sees the demand for Capesize ramping up. But, as always, the timing of any future move is brought into question. With the hindsight of the last couple of weeks, the only unusual occurrence would likely be a flatline of where we are at today. Panamax For the first couple of days ",14224.0,10304.0,15675.0,23989.0,16048.0,5759.604210939034,2021-03-08,14794.0,7.0
