route_id,assessment_date,origin,destination,vessel_class,cargo_type,source_name,data_type,mvp_core,is_east_coast_india,base_route_freight_rate,freight_rate_unit,scenario,current_5tc,scenario_5tc,market_multiplier,scenario_route_freight_rate,cargo_quantity_mt,distance_nm,distance_source,speed_knots,sea_days,port_days,total_voyage_days,bunker_consumption_mt_per_day,fuel_consumption_mt,daily_opex_usd,other_voyage_cost_usd,assumption_flag,bunker_price_usd_per_mt,bunker_reference_date,bunker_cost_usd,opex_cost_usd,total_voyage_cost_usd,freight_revenue_usd,estimated_profit_usd,route_feasibility,economics_method,market_scaling_assumption
6,2021-08-12,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,thermal coal,The Shipping Tribune / Platts,estimate,No,Yes,11.8,$/mt,bull,41155.0,58847.10804934665,1.4298896379382007,16.87269772767077,73625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,1242252.3701997604,878737.7451997604,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
7,2021-08-12,"East Kalimantan, Indonesia","Paradip, India",Supramax,coal,The Shipping Tribune / Platts,estimate,Yes,Yes,16.05,$/mt,bear,41155.0,31606.93405394277,0.7679974256820015,12.326358682196124,54625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,673327.3430149633,309812.7180149633,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
7,2021-08-12,"East Kalimantan, Indonesia","Paradip, India",Supramax,coal,The Shipping Tribune / Platts,estimate,Yes,Yes,16.05,$/mt,base,41155.0,41155.0,1.0,16.05,54625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,876731.25,513216.625,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
7,2021-08-12,"East Kalimantan, Indonesia","Paradip, India",Supramax,coal,The Shipping Tribune / Platts,estimate,Yes,Yes,16.05,$/mt,bull,41155.0,58847.10804934665,1.4298896379382007,22.94972868890812,54625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,1253628.929631606,890114.304631606,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
8,2021-08-12,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,thermal coal,The Shipping Tribune / Platts,estimate,No,No,13.1,$/mt,bear,41155.0,31606.93405394277,0.7679974256820015,10.060766276434219,73625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,740723.9171024694,377209.29210246936,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
8,2021-08-12,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,thermal coal,The Shipping Tribune / Platts,estimate,No,No,13.1,$/mt,base,41155.0,41155.0,1.0,13.1,73625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,964487.5,600972.875,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
8,2021-08-12,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,thermal coal,The Shipping Tribune / Platts,estimate,No,No,13.1,$/mt,bull,41155.0,58847.10804934665,1.4298896379382007,18.731554256990428,73625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,1379110.6821709203,1015596.0571709203,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
9,2021-08-12,"Richards Bay, South Africa","Paradip, India",Panamax,thermal coal,The Shipping Tribune / Platts,estimate,No,Yes,18.6,$/mt,bear,41155.0,31606.93405394277,0.7679974256820015,14.284752117685228,73625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,1051714.8746645749,688200.2496645749,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
9,2021-08-12,"Richards Bay, South Africa","Paradip, India",Panamax,thermal coal,The Shipping Tribune / Platts,estimate,No,Yes,18.6,$/mt,base,41155.0,41155.0,1.0,18.6,73625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,1369425.0,1005910.375,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
9,2021-08-12,"Richards Bay, South Africa","Paradip, India",Panamax,thermal coal,The Shipping Tribune / Platts,estimate,No,Yes,18.6,$/mt,bull,41155.0,58847.10804934665,1.4298896379382007,26.595947265650533,73625.0,3000.0,MVP_ASSUMPTION,12.0,10.916666666666666,2.0,12.916666666666666,30.0,327.5,12000.0,25000.0,MVP_PHYSICAL_ASSUMPTIONS,560.35,2026-08-14,183514.625,155000.0,363514.625,1958126.6174335205,1594611.9924335205,UNKNOWN_CONSTRAINTS,OBSERVED_ROUTE_RATE+5TC_RELATIVE_MARKET_SCALING,True
