candidate_id,imo,mmsi,vessel_name,candidate_vessel_class,dwt,dwt_class,gt,built,vessel_age_years,draught,size_a,size_b,flag,lat,lon,speed,avg_sog,max_sog,course,nav_status,destination,last_port,last_port_unloco,last_port_dep_utc,next_port,next_port_unloco,next_port_eta_utc,freshness_minutes,observation_count,first_observation_timestamp,last_observation_timestamp,mean_reported_speed,max_reported_speed,min_reported_speed,mean_freshness_minutes,has_extended_metadata,has_dwt,has_reported_speed,has_avg_sog,has_position,ais_fresh,has_multiple_observations,metadata_non_null_count,metadata_completeness,candidate_usable,candidate_source
IMO_9747390,9747390,538006474,DSI PEGASUS,BULK_CARRIER,,UNKNOWN,,,,12.8,171.0,29.0,MH,-23.79018,151.18005,0.0,,,127.0,5,,LIANYUNGANG,CNLYG,2026-08-04T01:36:37Z,,,,130.41666666666666,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.0,0.0,0.0,127.89166666666665,True,False,True,False,True,True,True,3,0.375,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9774472,9774472,636017368,KANG MAY,BULK_CARRIER,,UNKNOWN,,,,12.5,198.0,30.0,LR,-23.79253,151.18373,0.1,,,306.0,5,,LONGKOU,CNLKU,2026-08-04T02:56:39Z,,,,73.6,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.1,0.1,0.1,71.07499999999999,True,False,True,False,True,True,True,3,0.375,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9789831,9789831,636017377,JIA MAY,BULK_CARRIER,,UNKNOWN,,,,7.3,198.0,30.0,LR,-23.76622,151.49601,0.2,12.1,15.1,76.0,1,,KITAKYUSHU,JPKKJ,2026-07-31T16:44:00Z,,,,77.38333333333334,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.2,0.2,0.2,74.85833333333333,True,False,True,True,True,True,True,3,0.375,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9790880,9790880,431491000,NSU VOYAGER,BULK_CARRIER,,UNKNOWN,,,,9.4,257.0,42.0,JP,-23.77969,151.51859,0.1,11.6,15.3,171.0,1,,NAGOYA,JPNGO,2026-08-05T04:44:30Z,GLADSTONE,AUGLT,2026-08-18T07:00:00Z,76.11666666666666,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.1,0.1,0.1,73.59166666666667,True,False,True,True,True,True,True,5,0.625,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9802205,9802205,636018574,MEDI PALMAROLA,BULK_CARRIER,,UNKNOWN,,,,7.2,202.0,27.0,LR,-23.90016,151.58984,0.1,10.9,15.3,106.0,1,,NEWCASTLE,AUNTL,2026-06-25T17:28:45Z,GLADSTONE,AUGLT,2026-08-24T13:00:00Z,83.66666666666667,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.1,0.1,0.1,81.14166666666667,True,False,True,True,True,True,True,5,0.625,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9815939,9815939,636018518,MEDI GINEVRA,BULK_CARRIER,,UNKNOWN,,,,7.5,199.0,30.0,LR,-23.88145,151.57301,0.1,11.0,15.5,159.0,1,,MIZUSHIMA,JPMIZ,2026-08-01T23:56:37Z,,,,115.68333333333334,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.1,0.1,0.1,113.15833333333333,True,False,True,True,True,True,True,3,0.375,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9877872,9877872,538009641,SDTR ERICA,BULK_CARRIER,,UNKNOWN,,,,12.5,195.0,32.0,MH,-23.85242,151.61422,0.0,10.1,14.3,231.0,1,,HUANGHUA,CNHNH,2026-08-03T04:28:41Z,GLADSTONE,AUGLT,2026-08-24T14:45:00Z,73.71666666666667,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.0,0.0,0.0,71.19166666666666,True,False,True,True,True,True,True,5,0.625,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9885063,9885063,636020378,BRILLIANT MERCURY,BULK_CARRIER,,UNKNOWN,,,,7.9,217.0,33.0,LR,-23.81812,151.24128,0.0,,,138.0,5,,FUKUYAMA,JPFKY,2026-08-01T00:12:37Z,,,,49.93333333333333,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.0,0.0,0.0,47.40833333333333,True,False,True,False,True,True,True,3,0.375,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9889306,9889306,352393000,AZUL TIERRA,BULK_CARRIER,,UNKNOWN,,,,10.9,261.0,39.0,PA,-23.79716,151.5176,0.1,9.7,12.3,181.0,1,,DALRYMPLE,AUHPT,2026-08-25T22:12:50Z,GLADSTONE,AUGLT,2026-08-26T21:00:00Z,74.6,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.1,0.1,0.1,72.07499999999999,True,False,True,True,True,True,True,5,0.625,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9894818,9894818,538009407,DESERT NAMULI,BULK_CARRIER,,UNKNOWN,,,,6.8,170.0,29.0,MH,-23.82325,151.24626,0.0,,,139.0,5,,TIANJIN,CNTXG,2026-07-18T12:44:26Z,,,,75.98333333333333,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.0,0.0,0.0,73.45833333333334,True,False,True,False,True,True,True,3,0.375,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9906740,9906740,636021216,TAHO CIRCULAR,BULK_CARRIER,,UNKNOWN,,,,7.4,198.0,31.0,LR,-23.8323,151.49698,0.0,11.1,15.5,62.0,1,,GLADSTONE,AUGLT,2026-06-26T20:27:15Z,,,,74.15,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.0,0.0,0.0,71.625,True,False,True,True,True,True,True,3,0.375,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9914371,9914371,538012764,METIS TITANIUM,BULK_CARRIER,,UNKNOWN,,,,,,,,-23.84856,151.58976,0.0,,,128.0,1,,,,,,,,82.85,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.0,0.0,0.0,80.32499999999999,False,False,True,False,True,True,True,0,0.0,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9934204,9934204,477833200,JOSCO LIUZHOU,BULK_CARRIER,,UNKNOWN,,,,7.1,171.0,29.0,HK,-23.82068,151.24365,0.0,,,140.0,5,,DONGJIAKOU,,2026-07-30T06:24:37Z,,,,3.15,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.0,0.0,0.0,3.625,True,False,True,False,True,True,True,3,0.375,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9947768,9947768,636093091,BBC URANUS,BULK_CARRIER,,UNKNOWN,,,,8.9,151.0,28.0,LR,-23.83292,151.26313,0.0,,,109.0,5,,THEVENARD,AUTHE,2026-08-17T17:40:00Z,,,,0.6333333333333333,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.0,0.0,0.0,4.108333333333333,True,False,True,False,True,True,True,3,0.375,True,MYSHIPTRACKING_AIS_TRIAL
IMO_9990703,9990703,563266600,KARLA BULKER,BULK_CARRIER,,UNKNOWN,,,,6.3,154.0,29.0,SG,-23.85173,151.31262,0.0,12.4,15.8,80.0,5,,HIGASHIHARIMA,JPHHR,2026-08-13T08:04:45Z,GLADSTONE,AUGLT,2026-08-26T05:00:00Z,23.766666666666666,2,2026-08-28 04:16:15+00:00,2026-08-28 04:21:18+00:00,0.0,0.0,0.0,21.241666666666667,True,False,True,True,True,True,True,5,0.625,True,MYSHIPTRACKING_AIS_TRIAL
