candidate_id,imo,mmsi,vessel_name,vessel_dwt,vessel_dwt_class,route_id,origin,destination,route_vessel_class,cargo_type,class_match,dwt_match,vessel_lat,vessel_lon,origin_latitude,origin_longitude,destination_latitude,destination_longitude,reposition_distance_nm,route_distance_nm,ais_speed_knots,selected_speed_knots,speed_source,reposition_hours,sea_hours,port_days,total_voyage_hours,observation_count,route_freight_rate,freight_rate_unit,cargo_quantity_mt,typical_dwt_min,typical_dwt_max,average_dwt_assumption,bunker_mt_per_day,daily_opex_usd,other_voyage_cost_usd,route_distance_source,route_distance_quality,match_status,candidate_usable
IMO_9523201,9523201,413985000,YUN LONG FENG,,UNKNOWN,6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,thermal coal,,,-23.8292,151.58686,-3.3187496,114.5925828,14.2592415,80.0564758,2471.795435670701,2408.301246605427,0.1,12.0,ROUTE_SPEED,211.98295297255842,200.69177055045225,2.0,460.6747235230107,2.0,11.8,$/mt,73625.0,70000.0,85000.0,77500.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9523201,9523201,413985000,YUN LONG FENG,,UNKNOWN,8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,thermal coal,,,-23.8292,151.58686,-3.3187496,114.5925828,21.709301,72.5893963,2471.795435670701,3443.2178891213243,0.1,12.0,ROUTE_SPEED,211.98295297255842,286.9348240934437,2.0,546.9177770660021,2.0,13.1,$/mt,73625.0,70000.0,85000.0,77500.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9523201,9523201,413985000,YUN LONG FENG,,UNKNOWN,3,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,coal,,,-23.8292,151.58686,0.7884397,116.2419977,22.9582815,70.4496687,2535.1600104375525,4102.581709223877,0.1,12.0,ROUTE_SPEED,217.26333420312938,341.88180910198975,2.0,607.1451433051191,2.0,18.45,$/mt,54625.0,50000.0,65000.0,57500.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9523201,9523201,413985000,YUN LONG FENG,,UNKNOWN,7,"East Kalimantan, Indonesia","Paradip, India",Supramax,coal,,,-23.8292,151.58686,0.7884397,116.2419977,20.286946,86.6739979,2535.1600104375525,2752.598463285374,0.1,12.0,ROUTE_SPEED,217.26333420312938,229.38320527378116,2.0,494.64653947691056,2.0,16.05,$/mt,54625.0,50000.0,65000.0,57500.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9523201,9523201,413985000,YUN LONG FENG,,UNKNOWN,14,"East Kalimantan, Indonesia","Paradip, India",Supramax,thermal coal,,,-23.8292,151.58686,0.7884397,116.2419977,20.286946,86.6739979,2535.1600104375525,2752.598463285374,0.1,12.0,ROUTE_SPEED,217.26333420312938,229.38320527378116,2.0,494.64653947691056,2.0,15.0,$/mt,54625.0,50000.0,65000.0,57500.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9523201,9523201,413985000,YUN LONG FENG,,UNKNOWN,1,"Richards Bay, South Africa","Navlakhi, India",Supramax,coal,,,-23.8292,151.58686,-28.7707857,32.0577775,22.9582815,70.4496687,6098.925678200851,3938.9061722773454,0.1,12.0,ROUTE_SPEED,514.2438065167375,328.2421810231121,2.0,890.4859875398497,2.0,19.35,$/mt,54625.0,50000.0,65000.0,57500.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9523201,9523201,413985000,YUN LONG FENG,,UNKNOWN,9,"Richards Bay, South Africa","Paradip, India",Panamax,thermal coal,,,-23.8292,151.58686,-28.7707857,32.0577775,20.286946,86.6739979,6098.925678200851,4667.806005082153,0.1,12.0,ROUTE_SPEED,514.2438065167375,388.9838337568461,2.0,951.2276402735836,2.0,18.6,$/mt,73625.0,70000.0,85000.0,77500.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9523201,9523201,413985000,YUN LONG FENG,,UNKNOWN,16,"Richards Bay, South Africa","Gangavaram, India",Capesize,coal,,,-23.8292,151.58686,-28.7707857,32.0577775,13.2351728,78.7511018,6098.925678200851,4164.634114888308,0.1,12.0,ROUTE_SPEED,514.2438065167375,347.05284290735904,2.0,909.2966494240966,2.0,14.0,$/mt,166250.0,150000.0,200000.0,175000.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9523201,9523201,413985000,YUN LONG FENG,,UNKNOWN,18,"Richards Bay, South Africa","Haldia, India",Panamax,coking / thermal coal,,,-23.8292,151.58686,-28.7707857,32.0577775,22.028124,88.0632655,6098.925678200851,4736.344187320068,0.1,12.0,ROUTE_SPEED,514.2438065167375,394.695348943339,2.0,956.9391554600766,2.0,12.8,$/mt,73625.0,70000.0,85000.0,77500.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
IMO_9523201,9523201,413985000,YUN LONG FENG,,UNKNOWN,19,"Richards Bay, South Africa","Kandla, India",Capesize,coal,,,-23.8292,151.58686,-28.7707857,32.0577775,23.0177525,70.2096164,6098.925678200851,3938.9061722773454,0.1,12.0,ROUTE_SPEED,514.2438065167375,328.2421810231121,2.0,890.4859875398497,2.0,17.45,$/mt,166250.0,150000.0,200000.0,175000.0,30.0,12000.0,25000.0,SEAROUTE,SEAROUTE_CALCULATED,POSITION_ONLY,True
