observation_id,source_file,source_file_type,api_snapshot_timestamp,observation_timestamp,ais_received_timestamp,freshness_minutes,imo,mmsi,vessel_name,vtype_raw,vtype7_bulk_candidate,lat,lon,speed,course,nav_status,destination,zone_name,source,raw_record_index,exact_duplicate_observation,imo_observation_sequence,previous_api_snapshot_timestamp,observation_interval_hours,previous_lat,previous_lon,position_changed
zone_australia_gladstone_hay_point_20260828T042118Z.json_48,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28 03:04:07+00:00,77.18333333333334,9559248,503000216,VB SEA EAGLE,3,False,-23.82433,151.24317,0.0,511.0,5,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,48,True,2,2026-08-28 04:16:15+00:00,0.08416666666666667,-23.82433,151.24317,False
zone_australia_gladstone_hay_point_20260828T041615Z.json_101,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28 03:07:48+00:00,68.45,9565546,351733000,CHESAPEAKE HIGHWAY,7,True,-23.86656,151.57271,0.1,116.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,101,True,1,,,,,True
zone_australia_gladstone_hay_point_20260828T042118Z.json_101,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28 03:07:48+00:00,73.5,9565546,351733000,CHESAPEAKE HIGHWAY,7,True,-23.86656,151.57271,0.1,116.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,101,True,2,2026-08-28 04:16:15+00:00,0.08416666666666667,-23.86656,151.57271,False
zone_australia_gladstone_hay_point_20260828T041615Z.json_48,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28 03:07:55+00:00,68.33333333333333,9578490,503646000,VB AWOONGA,3,False,-23.83723,151.28279,6.8,293.0,0,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,48,True,1,,,,,True
zone_australia_gladstone_hay_point_20260828T042118Z.json_49,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28 03:07:55+00:00,73.38333333333334,9578490,503646000,VB AWOONGA,3,False,-23.83723,151.28279,6.8,293.0,0,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,49,True,2,2026-08-28 04:16:15+00:00,0.08416666666666667,-23.83723,151.28279,False
zone_australia_gladstone_hay_point_20260828T041615Z.json_28,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28 04:02:43+00:00,13.533333333333333,9581693,538005240,BOUGAINVILLE,8,False,-23.39355,151.03146,0.1,195.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,28,True,1,,,,,True
zone_australia_gladstone_hay_point_20260828T042118Z.json_29,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28 04:02:43+00:00,18.583333333333332,9581693,538005240,BOUGAINVILLE,8,False,-23.39355,151.03146,0.1,195.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,29,True,2,2026-08-28 04:16:15+00:00,0.08416666666666667,-23.39355,151.03146,False
zone_australia_gladstone_hay_point_20260828T041615Z.json_7,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28 02:33:03+00:00,103.2,9587350,636019937,ANABELA,7,True,-23.76171,151.51549,0.2,189.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,7,True,1,,,,,True
zone_australia_gladstone_hay_point_20260828T042118Z.json_7,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28 02:33:03+00:00,108.25,9587350,636019937,ANABELA,7,True,-23.76171,151.51549,0.2,189.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,7,True,2,2026-08-28 04:16:15+00:00,0.08416666666666667,-23.76171,151.51549,False
zone_australia_gladstone_hay_point_20260828T041615Z.json_11,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28 04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28 03:08:02+00:00,68.21666666666667,9599078,311001257,POPEYE,7,True,-23.81556,151.2388,0.0,138.0,5,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,11,True,1,,,,,True
