report_date,source_file,vessel_or_tbn,vessel_dwt,vessel_class,cargo_section,cargo_type,origin_raw,destination_raw,cargo_quantity_mt,laycan_raw,laycan_start,laycan_end,laycan_status,freight_rate,rate_unit,raw_text,parse_status,parse_reason
13.07.2026,report_00006.html,TBN,,,,,Dampier,Qingdao,170000.0,27/29 Jul,2026-07-27,2026-07-29,PARSED,13.45,$/mt,'TBN' 170000/10 Dampier/Qingdao 27/29 Jul $13.45 fio 90000shinc/30000shinc - Rio Tinto,PARSED,OK
13.07.2026,report_00006.html,TBN,,,,,Port Hedland,Qingdao,160000.0,27/29 Jul,2026-07-27,2026-07-29,PARSED,13.45,$/mt,'TBN' 160000/10 Port Hedland/Qingdao 27/29 Jul $13.45 fio 80000shinc/30000shinc - BHP,PARSED,OK
13.07.2026,report_00006.html,,,,,,,,,,,,NOT_PARSED,,$/mt,COAL 'TBN' 75000/10 coal HPCT-APCT-DBCT-Gladstone/Vizag 10/19 Aug $21.50 fio 40000shinc/40000shinc - SAIL,REVIEW,VOYAGE_REGEX_NO_MATCH
21.07.2026,report_00007.html,Excel,,,,,170000/10 Acu/Qingdao,,2012.0,17/22 Aug,2026-08-17,2026-08-22,PARSED,32.45,$/mt,'Excel' 2012 170000/10 Acu/Qingdao 17/22 Aug $32.45 fio 90000shinc/30000shinc - Anglo,PARSED,DESTINATION_NOT_PARSED
21.07.2026,report_00007.html,Genco Augustus,,,,,170000/10 Tubarao option West Africa/Qingdao,,2007.0,10/15 Aug,2026-08-10,2026-08-15,PARSED,32.15,$/mt,'Genco Augustus' 2007 170000/10 Tubarao option West Africa/Qingdao 10/15 Aug $32.15 fio 3 days shinc/30000shinc - Glovis,PARSED,DESTINATION_NOT_PARSED
21.07.2026,report_00007.html,,,,,,,,,,,,NOT_PARSED,,$/mt,COAL 'Pan Ocean TBN' 58000/10 Abbot Point/Donghae 5/14 Aug $19.89 fio 25000shinc/20000shinc - Kepco,REVIEW,VOYAGE_REGEX_NO_MATCH
29.07.2026,report_00009.html,Jutta,,,,,170000/10 Tubarao option West Africa/Qingdao,,2016.0,17/21 Aug,2026-08-17,2026-08-21,PARSED,32.1,$/mt,'Jutta' 2016 170000/10 Tubarao option West Africa/Qingdao 17/21 Aug $32.10 fio 3 days shinc/30000shinc - Oldendorff - <28/7 fixture>,PARSED,DESTINATION_NOT_PARSED
29.07.2026,report_00009.html,,,,,,,,,,,,NOT_PARSED,,$/mt,COAL 'TBN' 75000/10 Mobile/Erdemir 15/24 Aug $32.50 fio 25000shinc/19000shinc - Egeden,REVIEW,VOYAGE_REGEX_NO_MATCH
29.07.2026,report_00009.html,,,,,,,,,,,,NOT_PARSED,,$/mt,'Hyundai Glovis TBN' 60750-72500 Gladstone/Boryeong 16/25 Aug $16.43 fio 35000mtsatshexuu/19000ltshinc - Kepco,REVIEW,VOYAGE_REGEX_NO_MATCH
29.07.2026,report_00009.html,,,,,,,,,,,,NOT_PARSED,,$/mt,GRAIN 'TBN' 63000/10 Santos/China 15/20 Aug $50.00 fio 8000sshex/8000sshex - ADMI,REVIEW,VOYAGE_REGEX_NO_MATCH
29.07.2026,report_00009.html,TBN,,,,,Santos,China,63000.0,20/30 Aug,2026-08-20,2026-08-30,PARSED,49.75,$/mt,'TBN' 63000/10 Santos/China 20/30 Aug $49.75 fio 8000sshex/8000sshex - ECTP,PARSED,OK
04.08.2026,report_00010.html,Aanya,,,,,170000/10 Tubarao option West Africa/Qingdao,,2012.0,7/12 Sep,2026-09-07,2026-09-12,PARSED,35.75,$/mt,'Aanya' 2012 170000/10 Tubarao option West Africa/Qingdao 7/12 Sep $35.75 fio 3 days shinc/30000shinc - ECTP,PARSED,DESTINATION_NOT_PARSED
04.08.2026,report_00010.html,,,,,,,,,,,,NOT_PARSED,,$/mt,COAL 'Korea Line TBN' 80000/10 DBCT/EC India 1/10 Sep $22.65 fio 30000shinc/35000shinc - SAIL,REVIEW,VOYAGE_REGEX_NO_MATCH
04.08.2026,report_00010.html,,,,,,,,,,,,NOT_PARSED,,$/mt,GRAIN 'TBN' 65000/10 Vancouver/Nansha 1 Sep $35.00 fio 5000sshex/8000sshex - ADM,REVIEW,VOYAGE_REGEX_NO_MATCH
19.08.2026,report_00012.html,,,,,,,,,,,,NOT_PARSED,,$/mt,'Opulence TBN' 50000-52800 manganese ore Owendo/Vizag plus Haldia 22/26 Aug $45.75 fio basis 1-2 10000shinc/5000shinc+8000shinc - Eramet - <recent>,REVIEW,VOYAGE_REGEX_NO_MATCH
19.08.2026,report_00012.html,,,,,,,,,,,,NOT_PARSED,,$/mt,COAL 'TBN' 75000/10 Newport News opt Norfolk/EC India 21/30 Sep $51.20 fio 40000sashex/20000sashex - SAIL,REVIEW,VOYAGE_REGEX_NO_MATCH
19.08.2026,report_00012.html,,,,,,,,,,,,NOT_PARSED,,$/mt,GRAIN 'Cosco TBN' 64000/10 Itaqui/Qingdao 15/30 Sep $54.15 fio 8000sshex/8000sshex - Cargill,REVIEW,VOYAGE_REGEX_NO_MATCH
