report_date,target_5tc,status,evidence,source,has_5tc,has_capesize,has_bci,has_ultramax,has_supramax,semantic_category
2021-01-11,16633.0,GOOD_EXPLICIT,"The Capesize 5TC ended 2020 at $16,633 and now closes out its opening week of 2021 at a resounding $21,131.",https://www.drycargomag.com/dry-bulk-week-1-2021,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2021-02-01,15675.0,GOOD_EXPLICIT,"Dropping -8,956 over the course of the week the Capesize 5TC settled at $15,675.",https://www.drycargomag.com/dry-bulk-week-4-2021,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2021-02-15,10304.0,GOOD_EXPLICIT,"The Capesize 5TC registered a token drop of eight to settle at $10,304 as minimal trading was heard.",https://www.drycargomag.com/dry-bulk-week-6-2021,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2021-02-22,14224.0,GOOD_EXPLICIT,"From last Friday at $10,304, the Capesize 5TC reached a high on Wednesday of $15,856 before retreating to close the week out at $14,224.",https://www.drycargomag.com/dry-bulk-week-7-2021,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2021-03-01,11934.0,GOOD_EXPLICIT,"Dry Bulk: Week 8 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 8 01 March 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The market took on a mild downward slide during this week with the 5TC opening at $14,224 to close out at $11,934.",https://www.drycargomag.com/dry-bulk-week-8-2021,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2021-03-08,14794.0,GOOD_EXPLICIT,"Gaining $920 on the last trading day of the week the Capesize 5TC settled at $14,794, which reflected the solid trading activity.",https://www.drycargomag.com/dry-bulk-week-9-2021,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2021-03-22,19437.0,GOOD_EXPLICIT,"Dry Bulk: Week 11 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 11 22 March 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize A steady build for the Capesize market saw the 5TC lift $2,696 to settle the week at $19,437.",https://www.drycargomag.com/dry-bulk-week-11-2021,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2021-03-29,19014.0,GOOD_EXPLICIT,"The 5TC opened the week at $19,437 to close out the week down $423 at $19,014.",https://www.drycargomag.com/dry-bulk-week-12-2021,True,False,False,False,False,B_5TC_NO_CLEAR_SEGMENT
2021-04-26,34762.0,GOOD_EXPLICIT,"The 5TC rose $6,242 to settle at the end of the week at $34,762.",https://www.drycargomag.com/dry-bulk-week-16-2021,True,False,False,False,False,B_5TC_NO_CLEAR_SEGMENT
2021-05-17,34542.0,GOOD_EXPLICIT,"Dry Bulk: Week 19 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 19 17 May 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize As the week progressed it became clear that the Capesize market wasn’t having a small retracement but was in for a more significant downturn as the 5TC dropped $6,972 week-on-week to settle at $34,542.",https://www.drycargomag.com/dry-bulk-week-19,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2021-06-07,20933.0,GOOD_EXPLICIT,"Dry Bulk: Week 22 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 22 07 June 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market found little to support levels this week as a steady slide in rates saw the 5TC drop $4,681 over the week to settle at $20,933.",https://www.drycargomag.com/dry-bulk-week-22-2021,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2021-06-14,27752.0,GOOD_EXPLICIT,"The Capesize 5TC opened the week with a relatively paltry $20,933, took some moderate losses early in the week to $19,845 before rebounding strongly to close out the week at $27,752.",https://www.drycargomag.com/dry-bulk-week-23-2021,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2021-07-19,28572.0,GOOD_EXPLICIT,"Dry Bulk: Week 28 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 28 19 July 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market endured a week of eroding value across all regions as the 5TC lowered $2,430 week on week to settle at $28,572.",https://www.drycargomag.com/dry-bulk-week-28-2021,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2021-07-26,32469.0,GOOD_EXPLICIT,"Dry Bulk: Week 29 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 29 26 July 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The market drifted sideways lacking a strong directional lead most of the week, with gains towards the end the 5TC average settling at $32,469 to close the week, up almost $4,000.",https://www.drycargomag.com/dry-bulk-week-29-2021,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2021-08-02,35713.0,GOOD_EXPLICIT,"Dry Bulk: Week 30 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 30 02 August 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market strengthened this week as Pacific routes were affected by weather incidents pushing the 5TC up $3,244 week on week to settle at $35,713.",https://www.drycargomag.com/dry-bulk-week-30-2021,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2021-08-16,39526.0,GOOD_EXPLICIT,"By the end of the week both 5TC and BCI reached a new high since mid-May, at 4,766 and $39,526 respectively.",https://www.drycargomag.com/dry-bulk-week-32-2021,True,False,True,False,False,A_CLEAR_CAPESIZE_5TC
2021-09-06,46647.0,GOOD_EXPLICIT,"Dry Bulk: Week 35 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 35 06 September 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market crested over the past week as the 5TC retracted $4452 since last Friday to close out at $46,647.",https://www.drycargomag.com/dry-bulk-week-35-2021,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2021-09-27,61309.0,GOOD_EXPLICIT,"The Capesize 5TC opened the week at $53,240 and never looked like taking a backward step as it closed out the week a staggering $8,069 up settling Friday at $61,309.",https://www.drycargomag.com/dry-bulk-week-38-2021,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2021-11-08,27199.0,GOOD_EXPLICIT,"Dry Bulk: Week 44 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 44 08 November 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market has endured another difficult period of sliding rates as the 5TC sustained losses week-on-week of -8866 to close out at $27,199.",https://www.drycargomag.com/dry-bulk-week-44-2021,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2021-11-22,29938.0,GOOD_EXPLICIT,"Dry Bulk: Week 46 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 46 22 November 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market closed out a generally underwhelming week with positive sentiment and an uptick in the final days with the 5TC lifting +2905 to settle at $29,938.",https://www.drycargomag.com/dry-bulk-week-46-2021,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2021-12-13,40035.0,GOOD_EXPLICIT,"Dry Bulk: Week 49 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 49 13 December 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market peaked mid-week from its recent rally as the 5TC marked down -$1344 on the last day of the week to settle at $40,035.",https://www.drycargomag.com/dry-bulk-week-49-2021,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
2022-01-10,19176.0,GOOD_EXPLICIT,"Closing out 2021 at $19,176 the Cape 5TC ended its first week in 2022 at $20,167.",https://www.drycargomag.com/dry-bulk-week-1-2022,True,True,False,False,False,A_CLEAR_CAPESIZE_5TC
