report_date,original_value,strict_5tc,status,pattern,source_sentence,source
2020-11-09,14421.0,14421.0,ACCEPT,explicit_to_close_settle_finish,"The end of the week brought about a small uptick of +244 to settle the Capesize 5TC at $14,421, possibly placing a support level, although others would suggest it will allow for a breather before further declines.",https://www.drycargomag.com/dry-bulk-week-45
2020-11-30,12712.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-48
2020-12-07,12712.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-49
2021-01-11,2020.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-1-2021
2021-01-18,26489.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-2-2021
2021-02-01,15675.0,15675.0,ACCEPT,"\bsettle(?:d)?\s+(?:on|at)\s+\$([0-9][0-9,]*(?:\.[0-9]+)?)","Dropping -8,956 over the course of the week the Capesize 5TC settled at $15,675.",https://www.drycargomag.com/dry-bulk-week-4-2021
2021-02-15,10304.0,10304.0,ACCEPT,explicit_to_close_settle_finish,"The Capesize 5TC registered a token drop of eight to settle at $10,304 as minimal trading was heard.",https://www.drycargomag.com/dry-bulk-week-6-2021
2021-02-22,15856.0,14224.0,ACCEPT,explicit_to_close_settle_finish,"From last Friday at $10,304, the Capesize 5TC reached a high on Wednesday of $15,856 before retreating to close the week out at $14,224.",https://www.drycargomag.com/dry-bulk-week-7-2021
2021-03-01,14224.0,11934.0,ACCEPT,explicit_to_close_settle_finish,"Dry Bulk: Week 8 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 8 01 March 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The market took on a mild downward slide during this week with the 5TC opening at $14,224 to close out at $11,934.",https://www.drycargomag.com/dry-bulk-week-8-2021
2021-03-08,14794.0,14794.0,ACCEPT,"\bsettle(?:d)?\s+(?:on|at)\s+\$([0-9][0-9,]*(?:\.[0-9]+)?)","Gaining $920 on the last trading day of the week the Capesize 5TC settled at $14,794, which reflected the solid trading activity.",https://www.drycargomag.com/dry-bulk-week-9-2021
2021-03-15,14794.0,,REVIEW,,,https://www.drycargomag.com/dry-bulk-week-10-2021
