report_date,old_extracted,five_tc_sentences,source
2022-05-03,2003.0,"VALUES=[16609.0, 17713.0] | Dry Bulk: Week 17 / 2022 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 17 / 2022 03 May 2022 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market had a positive week overall with the BCI and 5TC route average at 2003 points and $16,609, closing at 2,136 and $17,713.",https://www.drycargomag.com/dry-bulk-week-17-2022
2022-05-09,24002.0,"VALUES=[24002.0, 6262.0] | Dry Bulk: Week 18 / 2022 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 18 / 2022 09 May 2022 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market has made the most of the short working week as rates have lifted strongly, with the 5TC now residing at $24,002 - up $6262 week on week.",https://www.drycargomag.com/dry-bulk-week-18-2022
2022-05-16,32733.0,"VALUES=[32733.0] | The 5TC ended the week at $32,733, a rise of 8731 week on week.",https://www.drycargomag.com/dry-bulk-week-19-2022
2022-06-13,4609.0,"VALUES=[19665.0] | The softening of values was felt across all Capesize 5TC routes as the index lowered throughout the week by -4609 to $19,665.",https://www.drycargomag.com/dry-bulk-week-23-2022
2022-06-27,4901.0,"VALUES=[19875.0] | Dry Bulk: Week 25 / 2022 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 25 / 2022 27 June 2022 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market was unable to carry the rally from last week as rates were seen to dip sharply this week with the 5TC down 4901 to $19,875.",https://www.drycargomag.com/dry-bulk-week-25-2022
2023-02-20,4432.0,"VALUES=[4432.0, 2246.0] | Dry Bulk Shipping Report About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk Shipping Report 20 February 2023 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize There was an overriding negative sentiment in the sector this week as the Cape 5TC average fell from $4,432 to $2,246 on Friday.",https://www.drycargomag.com/dry-bulk-shipping-report-0723
2023-02-27,2246.0,"VALUES=[2246.0, 5271.0] | Last Friday the 5TC was at $2,246 and as we close the week it stands at $5,271.",https://www.drycargomag.com/dry-bulk-shipping-report-0823
2023-03-13,4000.0,"VALUES=[4000.0, 14466.0] | Subsequently, the time charter average for the 5TC rose over $4,000 compared with last Friday and finished proceedings at $14,466.",https://www.drycargomag.com/dry-bulk-shipping-report-1023
2023-04-03,13806.0,"VALUES=[13806.0] | Dry Bulk Shipping Report About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk Shipping Report 03 April 2023 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The first quarter of 2023 ended with a decline of $95 on the Capesize time charter average (5TC), pricing at $13,806 on the last day in March.
VALUES=[] | On the period front this week, the Cape Cynthia (180,330 2012) was reportedly fixed basis delivery Korea 20-30 April for one year to Costamare at 108% of the 5TC.
VALUES=[] | Overall, the 5TC maintained the same level as at the start of the year.",https://www.drycargomag.com/dry-bulk-shipping-report-1323
2023-04-17,15849.0,"VALUES=[15849.0, 15344.0] | All in all, a mixed bag with the 5TC’s starting the week after the Easter weekend at $15,849 and ending the week at $15,344.",https://www.drycargomag.com/dry-bulk-shipping-report-1523
2023-06-26,12375.0,"VALUES=[12375.0, 17252.0] | The BCI 5TC, which opened on Monday at $12,375, has experienced a significant rise and currently stands at $17,252.",https://www.drycargomag.com/dry-bulk-shipping-report-2523
2023-10-09,5801.0,"VALUES=[5801.0, 27455.0] | By the end of the week, the Pacific market rebounded, remaining robust and supported, while the Atlantic market, particularly in the North Atlantic, saw significantly firmer fixtures, concluding the week on an optimistic note, as illustrated by the BCI 5TC index, which rose this week by $5,801 to reach $27,455 as the week draws to a close.",https://www.drycargomag.com/dry-bulk-shipping-report-4023
2024-01-15,29851.0,"VALUES=[29851.0, 18015.0] | The BCI 5TC commenced the week at $29,851 but experienced notable losses, concluding the week at $18,015 by Friday's close.",https://www.drycargomag.com/shipping-market-remains-subdued
2024-10-14,23509.0,"VALUES=[23509.0, 26213.0] | The BCI 5TC fell every day besides Friday, which closed at $23,509, a significant drop from Monday’s $26,213.",https://www.drycargomag.com/soft-week-for-dry-bulk-sector-market
2025-03-17,23697.0,"VALUES=[23697.0, 20544.0] | The BCI 5TC experienced a steady rise throughout the week, before a slight correction saw it close at $23,697, up from $20,544 at the week's start.",https://www.drycargomag.com/a-positive-week-for-the-dry-bulk-sector
2025-06-23,7000.0,"VALUES=[7000.0, 23879.0] | Overall, the week marked a reversal of recent gains, with the BCI 5TC shedding over $7,000 to settle at $23,879 by Friday.",https://www.drycargomag.com/a-subdued-week-for-dry-bulk-shipping-market
