imo,vessel_name,route_id,origin,destination,feasible_departure_dates,first_feasible_departure,last_feasible_departure,reposition_distance_nm,reposition_hours,estimated_total_voyage_days
9519779,MINERAL STONEHENGE,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",2,2026-09-06,2026-09-07,2434.1794713120034,202.8482892760003,15.631610646559757
9519779,MINERAL STONEHENGE,14,"East Kalimantan, Indonesia","Paradip, India",1,2026-09-07,2026-09-07,2530.519769086817,210.87664742390143,11.557633553074217
9519779,MINERAL STONEHENGE,17,"Queensland, Australia","Haldia, India",9,2026-08-30,2026-09-07,394.73900286508484,32.894916905423734,18.43177285723718
9519779,MINERAL STONEHENGE,2,"Hay Point, Australia","Paradip, India",9,2026-08-30,2026-09-07,195.1375216099103,16.26146013415919,19.010422170859073
9519779,MINERAL STONEHENGE,20,East Coast Australia,East Coast India,9,2026-08-30,2026-09-07,234.48984856478324,19.540820713731936,20.506163542591903
9519779,MINERAL STONEHENGE,21,Indonesia,East Coast India,2,2026-09-06,2026-09-07,2332.9959941528186,194.41633284606823,10.95508327835536
9519779,MINERAL STONEHENGE,22,Indonesia,West Coast India,2,2026-09-06,2026-09-07,2332.9959941528186,194.41633284606823,15.642525104530714
9519779,MINERAL STONEHENGE,3,"East Kalimantan, Indonesia","Navlakhi, India",1,2026-09-07,2026-09-07,2530.519769086817,210.87664742390143,16.245075379249574
9519779,MINERAL STONEHENGE,4,"Hay Point, Australia","Visakhapatnam, India",9,2026-08-30,2026-09-07,195.1375216099103,16.26146013415919,19.10663217622482
9519779,MINERAL STONEHENGE,5,"Hay Point, Australia","Paradip, India",9,2026-08-30,2026-09-07,195.1375216099103,16.26146013415919,19.010422170859073
9519779,MINERAL STONEHENGE,6,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",2,2026-09-06,2026-09-07,2467.002123586429,205.5835102988691,10.362157106268844
9519779,MINERAL STONEHENGE,7,"East Kalimantan, Indonesia","Paradip, India",1,2026-09-07,2026-09-07,2530.519769086817,210.87664742390143,11.557633553074217
9519779,MINERAL STONEHENGE,8,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",2,2026-09-06,2026-09-07,2467.002123586429,205.5835102988691,13.955617670560153
9587350,ANABELA,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",9,2026-08-30,2026-09-07,193.3606072336658,16.113383936138817,19.10663217622482
9587350,ANABELA,10,Indonesia,"Paradip, India",2,2026-09-06,2026-09-07,2332.334396864756,194.36119973872965,10.95508327835536
9587350,ANABELA,11,"Hay Point, Australia","Visakhapatnam, India",9,2026-08-30,2026-09-07,193.3606072336658,16.113383936138817,19.10663217622482
9587350,ANABELA,13,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",2,2026-09-06,2026-09-07,2433.5438576774277,202.79532147311897,15.631610646559757
9587350,ANABELA,14,"East Kalimantan, Indonesia","Paradip, India",1,2026-09-07,2026-09-07,2529.7224513846804,210.8102042820567,11.557633553074217
9587350,ANABELA,17,"Queensland, Australia","Haldia, India",9,2026-08-30,2026-09-07,394.926184794903,32.91051539957525,18.43177285723718
9587350,ANABELA,2,"Hay Point, Australia","Paradip, India",9,2026-08-30,2026-09-07,193.3606072336658,16.113383936138817,19.010422170859073
9587350,ANABELA,20,East Coast Australia,East Coast India,9,2026-08-30,2026-09-07,237.077438556276,19.756453213023,20.506163542591903
9587350,ANABELA,21,Indonesia,East Coast India,2,2026-09-06,2026-09-07,2332.334396864756,194.36119973872965,10.95508327835536
9587350,ANABELA,22,Indonesia,West Coast India,2,2026-09-06,2026-09-07,2332.334396864756,194.36119973872965,15.642525104530714
9587350,ANABELA,3,"East Kalimantan, Indonesia","Navlakhi, India",1,2026-09-07,2026-09-07,2529.7224513846804,210.8102042820567,16.245075379249574
9587350,ANABELA,4,"Hay Point, Australia","Visakhapatnam, India",9,2026-08-30,2026-09-07,193.3606072336658,16.113383936138817,19.10663217622482
