report_date,capesize_5tc_usd_per_day,source,source_sentence
2021-11-08,27199.0,https://www.drycargomag.com/dry-bulk-week-44-2021,"Dry Bulk: Week 44 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 44 08 November 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market has endured another difficult period of sliding rates as the 5TC sustained losses week-on-week of -8866 to close out at $27,199."
2021-11-22,29938.0,https://www.drycargomag.com/dry-bulk-week-46-2021,"Dry Bulk: Week 46 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 46 22 November 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market closed out a generally underwhelming week with positive sentiment and an uptick in the final days with the 5TC lifting +2905 to settle at $29,938."
2021-12-13,40035.0,https://www.drycargomag.com/dry-bulk-week-49-2021,"Dry Bulk: Week 49 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 49 13 December 2021 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market peaked mid-week from its recent rally as the 5TC marked down -$1344 on the last day of the week to settle at $40,035."
2022-01-10,19176.0,https://www.drycargomag.com/dry-bulk-week-1-2022,"Closing out 2021 at $19,176 the Cape 5TC ended its first week in 2022 at $20,167."
2022-01-17,12407.0,https://www.drycargomag.com/dry-bulk-week-2-2022,"Dry Bulk: Week 2 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 2 17 January 2022 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market endured a somewhat traditional post-holiday Q1 drop as the 5TC descended -7760 over the week to settle at $12,407."
2022-02-07,10302.0,https://www.drycargomag.com/dry-bulk-week-5-2022,"Dry Bulk: Week 5 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 5 07 February 2022 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market traded sideways this week as the 5TC closed at $10,302, an improvement of +1384 over the week."
2022-02-14,15397.0,https://www.drycargomag.com/dry-bulk-report-week-6-2022,"Activity was clearly seen to be elevated as the Capesize 5TC rose +5095 over the week to close on a mild Friday at $15,397."
2022-02-21,13888.0,https://www.drycargomag.com/dry-bulk-week-7-2022,"Closing Friday some reprieve was found as the Capesize 5TC closed on a positive up note +1888 to settle at $13,888."
2022-02-28,14026.0,https://www.drycargomag.com/dry-bulk-report-week-8-2022,"The Capesize 5TC reached a high of $18,181 Wednesday before shedding -4155 by weeks end to close at $14,026."
2022-03-14,22195.0,https://www.drycargomag.com/dry-bulk-week-10-2022,"Dry Bulk: Week 10 / 2022 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 10 / 2022 14 March 2022 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market appeared to get caught up in the wider market rallies this week as geopolitical tensions run high, with the 5TC lifting $8635 over the week to settle at $22,195."
2022-03-28,15648.0,https://www.drycargomag.com/dry-bulk-week-122022,"Dry Bulk: Week 12/2022 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 12/2022 28 March 2022 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The Capesize market had to contend with volatile bunker concerns once again as the 5TC lost $5956 week on week to close at $15,648."
2022-05-23,37538.0,https://www.drycargomag.com/dry-bulk-week-20-2022,"The Capesize 5TC rose +$4,805 over the week to close at $37,538."
2022-06-20,24776.0,https://www.drycargomag.com/dry-bulk-week-24-2022,"Amongst this turmoil the sector managed to find a floor under its recent softening as sentiment improved in the latter part of the week with the Capesize 5TC lifting $5,111 over the week to finish at $24,776."
2022-07-18,24209.0,https://www.drycargomag.com/dry-bulk-week-28-2022,"Dry Bulk: Week 28 / 2022 About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Dry Bulk: Week 28 / 2022 18 July 2022 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize Firmer sentiment across both basins pushed the Capesize 5TC route average above the $20,000 threshold this week, closing at $24,209."
2022-10-17,17965.0,https://www.drycargomag.com/flat-week-for-dry-bulk-shipping,"The Capesize 5TC lowered 1909 over the week to settle at $17,965."
2026-02-09,26468.0,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-0626,"Baltic Exchange: Dry Bulk Weekly Report About Us About Us Contact Us Privacy Policy Publications Dry Cargo Magazine Dry Cargo Handling Directory Advertising Magazine Advertising Online Banner Advertising Newsletter Banner Advertising Online Lead-Generating Content Media kit DCi Media Pack Editorial Programme Advertising Rates News Latest News Dry Bulk Trade & Commodities Shipping & Transport Ports & Terminals Engineering & Equipment Breakbulk Regional Focus Events Subscribe Baltic Exchange: Dry Bulk Weekly Report 09 February 2026 Dry Bulk | Trade & Commodities | Shipping & Transport Capesize The market endured a broadly softer week, with sentiment cooling across both the Pacific and Atlantic as the BCI 182 5TC slid from the low $31,000s to finish closer to $26,468."
2026-02-16,28849.0,https://www.drycargomag.com/baltic-exchange-dry-bulk-weekly-report-072026,"The Capesize 5 Timecharter average (C5TC 182) opened at $25,692 and closed at $28,849, marking a $3,157 rise over the five trading days."
