candidate_id,imo,vessel_name,mmsi,vessel_dwt,vessel_dwt_class,ais_lat,ais_lon,ais_speed_knots,ais_freshness_minutes,route_id,origin,destination,cargo_type,route_vessel_class,cargo_quantity_mt,freight_rate_usd_per_mt,freight_rate_unit,distance_nm,speed_knots,sea_days,port_days,total_voyage_days,bunker_mt_per_day,fuel_consumption_mt,live_bunker_price_usd_per_mt,bunker_fuel_grade,bunker_market_reference,bunker_updated_at,live_bunker_cost_usd,daily_opex_usd,opex_cost_usd,other_voyage_cost_usd,live_total_voyage_cost_usd,freight_revenue_usd,estimated_profit_usd,has_distance,has_speed,has_bunker_consumption,has_cargo,has_freight_rate,economics_ready,economics_source
IMO_9633159,9633159,MAIZURU KICHIJO,636025609,91435.0,PANAMAX,-23.85197,151.31129,0.0,24.2,15,Atlantic / Black Sea ports (Taman / Ust-Luga proxy),"Visakhapatnam, India",coal,Panamax,73625.0,19.5,$/mt,5565.87430627969,12.0,19.325952452360035,2.0,21.325952452360035,30.0,639.7785735708011,770.5,VLSFO,Singapore,2026-08-28T16:11:32.820Z,492949.39093630225,12000.0,255911.4294283204,25000.0,773860.8203646226,1435687.5,661826.6796353774,True,True,True,True,True,True,STEP49J_AIS+ROUTE_MASTER+OILPRICEAPI_VLSFO
IMO_9633159,9633159,MAIZURU KICHIJO,636025609,91435.0,PANAMAX,-23.85197,151.31129,0.0,24.2,17,"Queensland, Australia","Haldia, India",coking coal,Panamax,73625.0,20.3,$/mt,4732.350582884308,12.0,16.43177285723718,2.0,18.43177285723718,30.0,552.9531857171154,770.5,VLSFO,Singapore,2026-08-28T16:11:32.820Z,426050.4295950374,12000.0,221181.27428684616,25000.0,672231.7038818835,1494587.5,822355.7961181165,True,True,True,True,True,True,STEP49J_AIS+ROUTE_MASTER+OILPRICEAPI_VLSFO
IMO_9633159,9633159,MAIZURU KICHIJO,636025609,91435.0,PANAMAX,-23.85197,151.31129,0.0,24.2,18,"Richards Bay, South Africa","Haldia, India",coking / thermal coal,Panamax,73625.0,12.8,$/mt,4736.344187320068,12.0,16.44563953930579,2.0,18.44563953930579,30.0,553.3691861791738,770.5,VLSFO,Singapore,2026-08-28T16:11:32.820Z,426370.9579510534,12000.0,221347.67447166948,25000.0,672718.6324227229,942400.0,269681.3675772771,True,True,True,True,True,True,STEP49J_AIS+ROUTE_MASTER+OILPRICEAPI_VLSFO
IMO_9633159,9633159,MAIZURU KICHIJO,636025609,91435.0,PANAMAX,-23.85197,151.31129,0.0,24.2,20,East Coast Australia,East Coast India,coal,Panamax,73625.0,17.7,$/mt,5329.775100266468,12.0,18.506163542591903,2.0,20.506163542591903,30.0,615.1849062777571,770.5,VLSFO,Singapore,2026-08-28T16:11:32.820Z,473999.9702870119,12000.0,246073.96251110284,25000.0,745073.9327981147,1303162.5,558088.5672018853,True,True,True,True,True,True,STEP49J_AIS+ROUTE_MASTER+OILPRICEAPI_VLSFO
IMO_9633159,9633159,MAIZURU KICHIJO,636025609,91435.0,PANAMAX,-23.85197,151.31129,0.0,24.2,21,Indonesia,East Coast India,coal,Panamax,73625.0,11.2,$/mt,2579.0639841663437,12.0,8.95508327835536,2.0,10.95508327835536,30.0,328.65249835066084,770.5,VLSFO,Singapore,2026-08-28T16:11:32.820Z,253226.74997918418,12000.0,131460.99934026433,25000.0,409687.7493194485,824600.0,414912.2506805515,True,True,True,True,True,True,STEP49J_AIS+ROUTE_MASTER+OILPRICEAPI_VLSFO
IMO_9633159,9633159,MAIZURU KICHIJO,636025609,91435.0,PANAMAX,-23.85197,151.31129,0.0,24.2,22,Indonesia,West Coast India,coal,Panamax,73625.0,12.85,$/mt,3929.0472301048458,12.0,13.642525104530714,2.0,15.642525104530714,30.0,469.27575313592143,770.5,VLSFO,Singapore,2026-08-28T16:11:32.820Z,361576.96779122745,12000.0,187710.30125436856,25000.0,574287.269045596,946081.25,371793.980954404,True,True,True,True,True,True,STEP49J_AIS+ROUTE_MASTER+OILPRICEAPI_VLSFO
IMO_9633159,9633159,MAIZURU KICHIJO,636025609,91435.0,PANAMAX,-23.85197,151.31129,0.0,24.2,24,US East Coast (Hampton Roads / Baltimore),East Coast India (Paradip / Visakhapatnam),coal / coking coal,Panamax,73625.0,44.35,$/mt,9913.44136694391,12.0,34.42167141299969,2.0,36.42167141299969,30.0,1092.6501423899908,770.5,VLSFO,Singapore,2026-08-28T16:11:32.820Z,841886.934711488,12000.0,437060.0569559963,25000.0,1303946.9916674844,3265268.75,1961321.7583325156,True,True,True,True,True,True,STEP49J_AIS+ROUTE_MASTER+OILPRICEAPI_VLSFO
IMO_9599078,9599078,POPEYE,311001257,98730.0,PANAMAX,-23.81556,151.2388,0.0,73.26666666666667,0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",coking coal,Panamax,73625.0,47.0,$/mt,4926.710066752748,12.0,17.10663217622482,2.0,19.10663217622482,30.0,573.1989652867446,770.5,VLSFO,Singapore,2026-08-28T16:11:32.820Z,441649.8027534367,12000.0,229279.58611469786,25000.0,695929.3888681346,3460375.0,2764445.6111318655,True,True,True,True,True,True,STEP49J_AIS+ROUTE_MASTER+OILPRICEAPI_VLSFO
IMO_9599078,9599078,POPEYE,311001257,98730.0,PANAMAX,-23.81556,151.2388,0.0,73.26666666666667,1,"Richards Bay, South Africa","Navlakhi, India",coal,Supramax,54625.0,19.35,$/mt,3938.9061722773454,12.0,13.676757542629671,2.0,15.676757542629671,30.0,470.30272627889013,770.5,VLSFO,Singapore,2026-08-28T16:11:32.820Z,362368.2505978848,12000.0,188121.09051155605,25000.0,575489.3411094409,1056993.75,481504.4088905591,True,True,True,True,True,True,STEP49J_AIS+ROUTE_MASTER+OILPRICEAPI_VLSFO
IMO_9599078,9599078,POPEYE,311001257,98730.0,PANAMAX,-23.81556,151.2388,0.0,73.26666666666667,2,"Hay Point, Australia","Paradip, India",coking coal,Panamax,73625.0,13.8,$/mt,4899.001585207413,12.0,17.010422170859073,2.0,19.010422170859073,30.0,570.3126651257721,770.5,VLSFO,Singapore,2026-08-28T16:11:32.820Z,439425.90847940743,12000.0,228125.06605030887,25000.0,692550.9745297163,1016025.0,323474.0254702837,True,True,True,True,True,True,STEP49J_AIS+ROUTE_MASTER+OILPRICEAPI_VLSFO
