route_id,assessment_date,origin,destination,vessel_class,cargo_type,freight_rate,freight_rate_unit,source_name,data_type,mvp_core,is_east_coast_india,origin_constraint_status,origin_constraint_result,destination_constraint_status,destination_constraint_result,route_feasibility_status,cargo_quantity_mt,distance_nm,distance_source,sea_days,port_days,total_voyage_days,fuel_consumption_mt,bunker_price_usd_per_mt,bunker_cost_usd,daily_opex_usd,opex_cost_usd,other_voyage_cost_usd,base_voyage_cost_usd,bunker_reference_date
34,2021-08-11,"Richards Bay, South Africa","Paradip, India",Panamax,thermal coal,18.65,$/mt,The Shipping Tribune / Platts,estimate,No,Yes,UNKNOWN_PORT,,VERIFIED,True,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
35,2021-08-12,"Hay Point, Australia","Paradip, India",Panamax,metallurgical coal,21.1,$/mt,The Shipping Tribune / Platts,estimate,Yes,Yes,UNKNOWN_PORT,,VERIFIED,True,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
36,2021-08-12,"Banjarmasin (South Kalimantan), Indonesia","Krishnapatnam, India",Panamax,thermal coal,11.8,$/mt,The Shipping Tribune / Platts,estimate,No,Yes,UNKNOWN_PORT,,UNKNOWN_PORT,,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
37,2021-08-12,"East Kalimantan, Indonesia","Paradip, India",Supramax,coal,16.05,$/mt,The Shipping Tribune / Platts,estimate,Yes,Yes,UNKNOWN_PORT,,VERIFIED,True,UNKNOWN_CONSTRAINTS,54625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
38,2021-08-12,"Banjarmasin (South Kalimantan), Indonesia","Dahej, India",Panamax,thermal coal,13.1,$/mt,The Shipping Tribune / Platts,estimate,No,No,UNKNOWN_PORT,,UNKNOWN_PORT,,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
39,2021-08-12,"Richards Bay, South Africa","Paradip, India",Panamax,thermal coal,18.6,$/mt,The Shipping Tribune / Platts,estimate,No,Yes,UNKNOWN_PORT,,VERIFIED,True,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
40,2022-01-31,Indonesia,"Paradip, India",Supramax,thermal coal,15.35,$/mt,S&P Global Commodity Insights,formal assessment,Yes,Yes,UNKNOWN_PORT,,VERIFIED,True,UNKNOWN_CONSTRAINTS,54625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
41,2022-02-09,Indonesia,"Paradip, India",Supramax,thermal coal,21.3,$/mt,S&P Global Commodity Insights,formal assessment,Yes,Yes,UNKNOWN_PORT,,VERIFIED,True,UNKNOWN_CONSTRAINTS,54625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
42,2022-04-28,Indonesia,West Coast India,Panamax,coal,20.0,$/mt,ISM Report,reported fixture,No,No,UNKNOWN_PORT,,UNKNOWN_PORT,,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
43,2022-04-28,"Hay Point, Australia","Visakhapatnam, India",Panamax,coal,27.85,$/mt,ISM Report,reported fixture,No,Yes,UNKNOWN_PORT,,UNKNOWN_PORT,,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
44,2022-04-28,Indonesia,East Coast India,Panamax,coal,14.6,$/mt,ISM Report,reported fixture,No,Yes,UNKNOWN_PORT,,UNKNOWN_PORT,,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
46,2022-08-04,"Adang Bay (East Kalimantan), Indonesia","Kandla, India",Supramax,steam coal,26.5,$/mt,KSI-BHP Charter Party Fixture Note,reported fixture,No,No,UNKNOWN_PORT,,UNKNOWN_PORT,,UNKNOWN_CONSTRAINTS,54625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
47,2024-04-01,"East Kalimantan, Indonesia","Paradip, India",Supramax,thermal coal,15.0,$/mt,OfBusiness / Coal Market Intel,formal assessment,Yes,Yes,UNKNOWN_PORT,,VERIFIED,True,UNKNOWN_CONSTRAINTS,54625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
48,2024-07-04,East Coast Australia,East Coast India,Panamax,coal,16.15,$/mt,Argus Media,formal assessment,No,Yes,UNKNOWN_PORT,,UNKNOWN_PORT,,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
49,2024-07-04,Atlantic / Black Sea ports (Taman / Ust-Luga proxy),"Visakhapatnam, India",Panamax,coal,19.5,$/mt,ISM Report (Week 27/2024),formal assessment,No,Yes,UNKNOWN_PORT,,UNKNOWN_PORT,,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
50,2024-10-25,"Richards Bay, South Africa","Gangavaram, India",Capesize,coal,14.0,$/mt,Banchero Costa / Bancosta Weekly (Week 43/2024),reported fixture,No,Yes,UNKNOWN_PORT,,VERIFIED,True,UNKNOWN_CONSTRAINTS,166250.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
51,2025-02-21,"Queensland, Australia","Haldia, India",Panamax,coking coal,20.3,$/mt,Coal Trends Global,formal assessment,No,Yes,UNKNOWN_PORT,,UNKNOWN_PORT,,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
52,2025-02-21,"Richards Bay, South Africa","Haldia, India",Panamax,coking / thermal coal,12.8,$/mt,Coal Trends Global,formal assessment,No,Yes,UNKNOWN_PORT,,UNKNOWN_PORT,,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
53,2026-04-20,"Richards Bay, South Africa","Kandla, India",Capesize,coal,17.45,$/mt,Argus Media,formal assessment,No,No,UNKNOWN_PORT,,UNKNOWN_PORT,,UNKNOWN_CONSTRAINTS,166250.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
54,2026-04-20,East Coast Australia,East Coast India,Panamax,coal,17.7,$/mt,Argus Media,formal assessment,No,Yes,UNKNOWN_PORT,,UNKNOWN_PORT,,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
55,2026-04-20,Indonesia,East Coast India,Panamax,coal,11.2,$/mt,Argus Media,formal assessment,No,Yes,UNKNOWN_PORT,,UNKNOWN_PORT,,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
56,2026-04-20,Indonesia,West Coast India,Panamax,coal,12.85,$/mt,Argus Media,formal assessment,No,No,UNKNOWN_PORT,,UNKNOWN_PORT,,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
57,2026-04-20,"Richards Bay, South Africa","Krishnapatnam, India",Capesize,coal,19.55,$/mt,Argus Media,formal assessment,No,Yes,UNKNOWN_PORT,,UNKNOWN_PORT,,UNKNOWN_CONSTRAINTS,166250.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
58,2026-04-20,US East Coast (Hampton Roads / Baltimore),East Coast India (Paradip / Visakhapatnam),Panamax,coal / coking coal,44.35,$/mt,Argus Media,formal assessment,No,Yes,UNKNOWN_PORT,,VERIFIED,True,UNKNOWN_CONSTRAINTS,73625.0,3000.0,MVP_ASSUMPTION,10.916666666666666,2.0,12.916666666666666,327.5,560.35,183514.625,12000.0,155000.0,25000.0,363514.625,2026-08-14
