observation_id,source_file,source_file_type,api_snapshot_timestamp,observation_timestamp,ais_received_timestamp,freshness_minutes,imo,mmsi,vessel_name,vtype_raw,vtype7_bulk_candidate,lat,lon,speed,course,nav_status,destination,zone_name,source,raw_record_index,exact_duplicate_observation,imo_observation_sequence
zone_australia_gladstone_hay_point_20260828T042118Z.json_2,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28T03:05:11Z,76.11666666666666,9790880,431491000,NSU VOYAGER,7,True,-23.77969,151.51859,0.1,171.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,2,True,2
zone_australia_gladstone_hay_point_20260828T042118Z.json_1,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28T03:08:00Z,73.3,9603398,373033000,CAPE RAINBOW,7,True,-23.79231,151.53191,3.9,208.0,0,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,1,True,2
zone_australia_gladstone_hay_point_20260828T042118Z.json_0,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28T03:06:34Z,74.73333333333333,9713442,372754000,CAPE HARVEST,7,True,-23.84951,151.45999,0.3,126.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,0,True,2
zone_australia_gladstone_hay_point_20260828T042118Z.json_11,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28T03:02:47Z,78.51666666666667,9694945,269084000,BREGAGLIA,7,True,-23.83375,151.47999,0.0,73.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,11,True,2
zone_australia_gladstone_hay_point_20260828T042118Z.json_26,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28T02:10:53Z,130.41666666666666,9747390,538006474,DSI PEGASUS,7,True,-23.79018,151.18005,0.0,127.0,5,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,26,True,2
zone_australia_gladstone_hay_point_20260828T042118Z.json_27,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28T04:18:09Z,3.15,9934204,477833200,JOSCO LIUZHOU,7,True,-23.82068,151.24365,0.0,140.0,5,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,27,False,2
zone_australia_gladstone_hay_point_20260828T042118Z.json_28,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28T03:05:19Z,75.98333333333333,9894818,538009407,DESERT NAMULI,7,True,-23.82325,151.24626,0.0,139.0,5,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,28,True,2
zone_australia_gladstone_hay_point_20260828T042118Z.json_51,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28T03:07:10Z,74.13333333333334,9557587,503641000,VB KOONGO,3,False,-23.82487,151.24391,0.0,80.0,5,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,51,True,2
zone_australia_gladstone_hay_point_20260828T042118Z.json_50,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28T03:07:56Z,73.36666666666666,9557599,503642000,VB YALLARM,3,False,-23.83668,151.28152,6.6,289.0,0,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,50,True,2
zone_australia_gladstone_hay_point_20260828T042118Z.json_49,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28T03:07:55Z,73.38333333333334,9578490,503646000,VB AWOONGA,3,False,-23.83723,151.28279,6.8,293.0,0,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,49,True,2
zone_australia_gladstone_hay_point_20260828T042118Z.json_48,zone_australia_gladstone_hay_point_20260828T042118Z.json,zone,2026-08-28 04:21:18+00:00,2026-08-28T04:21:18+00:00,2026-08-28T03:04:07Z,77.18333333333334,9559248,503000216,VB SEA EAGLE,3,False,-23.82433,151.24317,0.0,511.0,5,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,48,True,2
