record_type,report_date,source_file,vessel_or_tbn,build_year,vessel_dwt,vessel_class,cargo_section,cargo_quantity_mt,origin_raw,destination_raw,laycan_raw,laycan_start,laycan_end,freight_rate,rate_unit,charterer,raw_text,parse_status,parse_reason,report_age_days,latest_report_observation,current_operational_evidence,laycan_after_planning_date
VOYAGE,29.07.2026,report_00009.html,Jutta,,,,ORE,2016.0,170000/10 Tubarao option West Africa/Qingdao,,17/21 Aug,2026-08-17,2026-08-21,32.1,$/mt,,'Jutta' 2016 170000/10 Tubarao option West Africa/Qingdao 17/21 Aug $32.10 fio 3 days shinc/30000shinc - Oldendorff - <28/7 fixture>,REVIEW,DESTINATION_NOT_PARSED,30,False,False,False
VOYAGE,29.07.2026,report_00009.html,TBN,,,,ORE,75000.0,Mobile,Erdemir,15/24 Aug,2026-08-15,2026-08-24,32.5,$/mt,,COAL 'TBN' 75000/10 Mobile/Erdemir 15/24 Aug $32.50 fio 25000shinc/19000shinc - Egeden,PARSED,OK,30,False,False,False
VOYAGE,29.07.2026,report_00009.html,,,,,ORE,,,,,,,,$/mt,,'Hyundai Glovis TBN' 60750-72500 Gladstone/Boryeong 16/25 Aug $16.43 fio 35000mtsatshexuu/19000ltshinc - Kepco,REVIEW,VOYAGE_PATTERN_NOT_MATCHED,30,False,False,False
VOYAGE,29.07.2026,report_00009.html,TBN,,,,ORE,63000.0,Santos,China,15/20 Aug,2026-08-15,2026-08-20,50.0,$/mt,,GRAIN 'TBN' 63000/10 Santos/China 15/20 Aug $50.00 fio 8000sshex/8000sshex - ADMI,PARSED,OK,30,False,False,False
VOYAGE,29.07.2026,report_00009.html,TBN,,,,ORE,63000.0,Santos,China,20/30 Aug,2026-08-20,2026-08-30,49.75,$/mt,,'TBN' 63000/10 Santos/China 20/30 Aug $49.75 fio 8000sshex/8000sshex - ECTP,PARSED,OK,30,False,False,True
VOYAGE,04.08.2026,report_00010.html,TBN,,,,ORE,170000.0,Dampier,Qingdao,18/20 Aug,2026-08-18,2026-08-20,15.0,$/mt,,'TBN' 170000/10 Dampier/Qingdao 18/20 Aug $15 fio 90000shinc/30000shinc - Rio Tinto,PARSED,OK,24,False,False,False
VOYAGE,04.08.2026,report_00010.html,Aanya,,,,ORE,2012.0,170000/10 Tubarao option West Africa/Qingdao,,7/12 Sep,2026-09-07,2026-09-12,35.75,$/mt,,'Aanya' 2012 170000/10 Tubarao option West Africa/Qingdao 7/12 Sep $35.75 fio 3 days shinc/30000shinc - ECTP,REVIEW,DESTINATION_NOT_PARSED,24,False,False,True
VOYAGE,04.08.2026,report_00010.html,,,,,ORE,,,,,,,,$/mt,,'Magnes' 2011 170000/10 Tubarao option West Africa/Qingdao $35.50 fio 3 days shinc/30000shinc - Cargill - <3/8 fixture>,REVIEW,VOYAGE_PATTERN_NOT_MATCHED,24,False,False,False
VOYAGE,04.08.2026,report_00010.html,Korea Line TBN,,,,ORE,80000.0,DBCT,EC India,1/10 Sep,2026-09-01,2026-09-10,22.65,$/mt,,COAL 'Korea Line TBN' 80000/10 DBCT/EC India 1/10 Sep $22.65 fio 30000shinc/35000shinc - SAIL,PARSED,OK,24,False,False,True
VOYAGE,04.08.2026,report_00010.html,TBN,,,,ORE,65000.0,Vancouver,Nansha,1 Sep,2026-09-01,2026-09-01,35.0,$/mt,,GRAIN 'TBN' 65000/10 Vancouver/Nansha 1 Sep $35.00 fio 5000sshex/8000sshex - ADM,PARSED,OK,24,False,False,True
VOYAGE,19.08.2026,report_00012.html,Bulk Joyance,,,,ORE,2012.0,160000/10 Port Hedland/Qingdao,,5/7 Sep,2026-09-05,2026-09-07,13.55,$/mt,,'Bulk Joyance ' 2012 160000/10 Port Hedland/Qingdao 5/7 Sep $13.55 fio 80000shinc/30000shinc - Cargill - <18/8 fixture >,REVIEW,DESTINATION_NOT_PARSED,9,True,False,True
VOYAGE,19.08.2026,report_00012.html,,,,,ORE,,,,,,,,$/mt,,'Opulence TBN' 50000-52800 manganese ore Owendo/Vizag plus Haldia 22/26 Aug $45.75 fio basis 1-2 10000shinc/5000shinc+8000shinc - Eramet - <recent>,REVIEW,VOYAGE_PATTERN_NOT_MATCHED,9,True,False,False
VOYAGE,19.08.2026,report_00012.html,TBN,,,,ORE,75000.0,Newport News opt Norfolk,EC India,21/30 Sep,2026-09-21,2026-09-30,51.2,$/mt,,COAL 'TBN' 75000/10 Newport News opt Norfolk/EC India 21/30 Sep $51.20 fio 40000sashex/20000sashex - SAIL,PARSED,OK,9,True,False,True
VOYAGE,19.08.2026,report_00012.html,Cosco TBN,,,,ORE,64000.0,Itaqui,Qingdao,15/30 Sep,2026-09-15,2026-09-30,54.15,$/mt,,GRAIN 'Cosco TBN' 64000/10 Itaqui/Qingdao 15/30 Sep $54.15 fio 8000sshex/8000sshex - Cargill,PARSED,OK,9,True,False,True
