source_row,report_date,source_file,original_raw_text,repair_status,repair_reason,repair_raw_text,repaired_vessel_or_tbn,repaired_build_year,repaired_cargo_quantity_mt,repaired_lane_raw,repaired_origin,repaired_destination,repaired_laycan_raw,repaired_laycan_start,repaired_laycan_end,repaired_freight_rate,repaired_rate_unit,repaired_cargo_type,repaired_charterer,repaired_vessel_dwt,repaired_vessel_class,match_status,matched_contract_id,matched_route_id,match_score,match_reason,matched_contract_origin,matched_contract_destination,matched_contract_vessel_class,origin_match,destination_match,vessel_class_match,report_age_days,current_operational_evidence
22,2026-07-13,report_00006.html,'TBN' 170000/10 Dampier/Qingdao 27/29 Jul $13.45 fio 90000shinc/30000shinc - Rio Tinto,REVIEW,VOYAGE_PATTERN_NOT_REPAIRED,TBN' 170000/10 Dampier/Qingdao 27/29 Jul $13.45 fio 90000shinc/30000shinc - Rio Tinto,,,,,,,,,,,,,,,,REVIEW,,,,VOYAGE_PATTERN_NOT_REPAIRED,,,,,,,46,False
23,2026-07-13,report_00006.html,'TBN' 160000/10 Port Hedland/Qingdao 27/29 Jul $13.45 fio 80000shinc/30000shinc - BHP,REVIEW,VOYAGE_PATTERN_NOT_REPAIRED,TBN' 160000/10 Port Hedland/Qingdao 27/29 Jul $13.45 fio 80000shinc/30000shinc - BHP,,,,,,,,,,,,,,,,REVIEW,,,,VOYAGE_PATTERN_NOT_REPAIRED,,,,,,,46,False
24,2026-07-13,report_00006.html,COAL 'TBN' 75000/10 coal HPCT-APCT-DBCT-Gladstone/Vizag 10/19 Aug $21.50 fio 40000shinc/40000shinc - SAIL,PARSED,OK,'TBN' 75000/10 coal HPCT-APCT-DBCT-Gladstone/Vizag 10/19 Aug $21.50 fio 40000shinc/40000shinc - SAIL,TBN,,75000.0,coal HPCT-APCT-DBCT-Gladstone/Vizag,coal HPCT-APCT-DBCT-Gladstone,Vizag,10/19 Aug,2026-08-10,2026-08-19,21.5,$/mt,COAL,SAIL,,,NO_MATCH,,,,No existing contract lane matched the normalized ShipOffer origin/destination.,,,,,,,46,False
25,2026-07-21,report_00007.html,'Excel' 2012 170000/10 Acu/Qingdao 17/22 Aug $32.45 fio 90000shinc/30000shinc - Anglo,REVIEW,VOYAGE_PATTERN_NOT_REPAIRED,Excel' 2012 170000/10 Acu/Qingdao 17/22 Aug $32.45 fio 90000shinc/30000shinc - Anglo,,,,,,,,,,,,,,,,REVIEW,,,,VOYAGE_PATTERN_NOT_REPAIRED,,,,,,,38,False
26,2026-07-21,report_00007.html,'Genco Augustus' 2007 170000/10 Tubarao option West Africa/Qingdao 10/15 Aug $32.15 fio 3 days shinc/30000shinc - Glovis,REVIEW,VOYAGE_PATTERN_NOT_REPAIRED,Genco Augustus' 2007 170000/10 Tubarao option West Africa/Qingdao 10/15 Aug $32.15 fio 3 days shinc/30000shinc - Glovis,,,,,,,,,,,,,,,,REVIEW,,,,VOYAGE_PATTERN_NOT_REPAIRED,,,,,,,38,False
27,2026-07-21,report_00007.html,COAL 'Pan Ocean TBN' 58000/10 Abbot Point/Donghae 5/14 Aug $19.89 fio 25000shinc/20000shinc - Kepco,PARSED,OK,'Pan Ocean TBN' 58000/10 Abbot Point/Donghae 5/14 Aug $19.89 fio 25000shinc/20000shinc - Kepco,Pan Ocean TBN,,58000.0,Abbot Point/Donghae,Abbot Point,Donghae,5/14 Aug,2026-08-05,2026-08-14,19.89,$/mt,COAL,Kepco,,,NO_MATCH,,,,No existing contract lane matched the normalized ShipOffer origin/destination.,,,,,,,38,False
28,2026-07-29,report_00009.html,'Jutta' 2016 170000/10 Tubarao option West Africa/Qingdao 17/21 Aug $32.10 fio 3 days shinc/30000shinc - Oldendorff - <28/7 fixture>,REVIEW,VOYAGE_PATTERN_NOT_REPAIRED,Jutta' 2016 170000/10 Tubarao option West Africa/Qingdao 17/21 Aug $32.10 fio 3 days shinc/30000shinc - Oldendorff - <28/7 fixture>,,,,,,,,,,,,,,,,REVIEW,,,,VOYAGE_PATTERN_NOT_REPAIRED,,,,,,,30,False
29,2026-07-29,report_00009.html,GRAIN 'TBN' 63000/10 Santos/China 15/20 Aug $50.00 fio 8000sshex/8000sshex - ADMI,PARSED,OK,'TBN' 63000/10 Santos/China 15/20 Aug $50.00 fio 8000sshex/8000sshex - ADMI,TBN,,63000.0,Santos/China,Santos,China,15/20 Aug,2026-08-15,2026-08-20,50.0,$/mt,GRAIN,ADMI,,,NO_MATCH,,,,No existing contract lane matched the normalized ShipOffer origin/destination.,,,,,,,30,False
30,2026-07-29,report_00009.html,'TBN' 63000/10 Santos/China 20/30 Aug $49.75 fio 8000sshex/8000sshex - ECTP,REVIEW,VOYAGE_PATTERN_NOT_REPAIRED,TBN' 63000/10 Santos/China 20/30 Aug $49.75 fio 8000sshex/8000sshex - ECTP,,,,,,,,,,,,,,,,REVIEW,,,,VOYAGE_PATTERN_NOT_REPAIRED,,,,,,,30,False
31,2026-08-04,report_00010.html,'Aanya' 2012 170000/10 Tubarao option West Africa/Qingdao 7/12 Sep $35.75 fio 3 days shinc/30000shinc - ECTP,REVIEW,VOYAGE_PATTERN_NOT_REPAIRED,Aanya' 2012 170000/10 Tubarao option West Africa/Qingdao 7/12 Sep $35.75 fio 3 days shinc/30000shinc - ECTP,,,,,,,,,,,,,,,,REVIEW,,,,VOYAGE_PATTERN_NOT_REPAIRED,,,,,,,24,False
32,2026-08-04,report_00010.html,GRAIN 'TBN' 65000/10 Vancouver/Nansha 1 Sep $35.00 fio 5000sshex/8000sshex - ADM,PARSED,OK,'TBN' 65000/10 Vancouver/Nansha 1 Sep $35.00 fio 5000sshex/8000sshex - ADM,TBN,,65000.0,Vancouver/Nansha,Vancouver,Nansha,1 Sep,2026-09-01,2026-09-01,35.0,$/mt,GRAIN,ADM,,,NO_MATCH,,,,No existing contract lane matched the normalized ShipOffer origin/destination.,,,,,,,24,False
33,2026-08-19,report_00012.html,GRAIN 'Cosco TBN' 64000/10 Itaqui/Qingdao 15/30 Sep $54.15 fio 8000sshex/8000sshex - Cargill,PARSED,OK,'Cosco TBN' 64000/10 Itaqui/Qingdao 15/30 Sep $54.15 fio 8000sshex/8000sshex - Cargill,Cosco TBN,,64000.0,Itaqui/Qingdao,Itaqui,Qingdao,15/30 Sep,2026-09-15,2026-09-30,54.15,$/mt,GRAIN,Cargill,,,NO_MATCH,,,,No existing contract lane matched the normalized ShipOffer origin/destination.,,,,,,,9,False
