observation_id,source_file,source_file_type,api_snapshot_timestamp,observation_timestamp,ais_received_timestamp,freshness_minutes,imo,mmsi,vessel_name,vtype_raw,vtype7_bulk_candidate,lat,lon,speed,course,nav_status,destination,zone_name,source,raw_record_index,exact_duplicate_observation,imo_observation_sequence
zone_australia_gladstone_hay_point_20260828T041615Z.json_39,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28T04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:06:12Z,70.05,,503696000,CAPRICORNIAN SPIRIT,6,False,-23.82771,151.24371,0.0,511.0,5,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,39,True,4
zone_australia_gladstone_hay_point_20260828T041615Z.json_40,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28T04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:04:44Z,71.51666666666667,9743693,503000093,VB WIGGINS ISLAND,3,False,-23.77906,151.19636,0.0,35.0,0,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,40,True,1
zone_australia_gladstone_hay_point_20260828T041615Z.json_41,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28T04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:18:43Z,57.53333333333333,9743681,503026120,VB HERON ISLAND,3,False,-23.8273,151.26124,9.4,307.2,0,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,41,True,1
zone_australia_gladstone_hay_point_20260828T041615Z.json_42,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28T04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:06:09Z,70.1,9693484,503022140,SL QUOIN ISLAND,3,False,-23.7796,151.19765,0.0,311.0,0,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,42,True,1
zone_australia_gladstone_hay_point_20260828T041615Z.json_43,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28T04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:07:57Z,68.3,9743679,503024450,SL BOYNE ISLAND,3,False,-23.77748,151.19466,0.1,135.0,0,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,43,True,1
zone_australia_gladstone_hay_point_20260828T041615Z.json_44,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28T04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:05:41Z,70.56666666666666,9693472,503020180,SL CURTIS ISLAND,3,False,-23.82482,151.24429,0.0,259.0,5,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,44,True,1
zone_australia_gladstone_hay_point_20260828T041615Z.json_45,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28T04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:02:58Z,73.28333333333333,9795799,503000231,SL MURJAN,0,False,-23.77822,151.19532,0.0,36.0,0,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,45,True,1
zone_australia_gladstone_hay_point_20260828T041615Z.json_46,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28T04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:11:16Z,64.98333333333333,9795787,503000229,SL LULU,0,False,-23.83523,151.27764,6.7,291.0,0,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,46,True,1
zone_australia_gladstone_hay_point_20260828T041615Z.json_47,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28T04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:04:07Z,72.13333333333334,9559248,503000216,VB SEA EAGLE,3,False,-23.82433,151.24317,0.0,511.0,5,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,47,True,1
zone_australia_gladstone_hay_point_20260828T041615Z.json_48,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28T04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:07:55Z,68.33333333333333,9578490,503646000,VB AWOONGA,3,False,-23.83723,151.28279,6.8,293.0,0,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,48,True,1
zone_australia_gladstone_hay_point_20260828T041615Z.json_49,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28T04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:07:56Z,68.31666666666666,9557599,503642000,VB YALLARM,3,False,-23.83668,151.28152,6.6,289.0,0,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,49,True,1
zone_australia_gladstone_hay_point_20260828T041615Z.json_50,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28T04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:07:10Z,69.08333333333333,9557587,503641000,VB KOONGO,3,False,-23.82487,151.24391,0.0,80.0,5,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,50,True,1
zone_australia_gladstone_hay_point_20260828T041615Z.json_51,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28T04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:05:09Z,71.1,,503639000,CURTIS ENDEAVOUR II,9,False,-23.83142,151.24069,0.0,511.0,15,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,51,True,5
zone_australia_gladstone_hay_point_20260828T041615Z.json_52,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28T04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T00:11:16Z,244.98333333333332,,503640000,CURTIS ENDEVOUR 1,9,False,-23.83657,151.24606,0.0,511.0,15,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,52,True,6
zone_australia_gladstone_hay_point_20260828T041615Z.json_53,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28T04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T02:41:56Z,94.31666666666666,,503500700,TORRESIAN,6,False,-23.79264,151.21254,7.1,351.8,0,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,53,True,7
zone_australia_gladstone_hay_point_20260828T041615Z.json_54,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28T04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:07:13Z,69.03333333333333,,503333000,NIGHT CROSSING,10,False,-23.83929,151.23925,0.0,511.0,15,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,54,True,8
zone_australia_gladstone_hay_point_20260828T041615Z.json_55,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28T04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:07:04Z,69.18333333333334,,503799900,PARANGOOL,4,False,-23.82738,151.24386,0.0,511.0,0,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,55,True,9
zone_australia_gladstone_hay_point_20260828T041615Z.json_56,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28T04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T02:20:16Z,115.98333333333333,,503167730,GOODNA,0,False,-23.7645,151.17189,18.4,350.0,0,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,56,True,10
zone_australia_gladstone_hay_point_20260828T041615Z.json_57,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28T04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:06:21Z,69.9,,503615300,BRAHMINY KITE,6,False,-23.82754,151.24418,0.0,511.0,5,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,57,True,11
zone_australia_gladstone_hay_point_20260828T041615Z.json_58,zone_australia_gladstone_hay_point_20260828T041615Z.json,zone,2026-08-28T04:16:15+00:00,2026-08-28T04:16:15+00:00,2026-08-28T03:03:41Z,72.56666666666666,,503111860,REEF RESILIENCE,3,False,-23.82702,151.24308,0.0,128.0,1,,AUSTRALIA_GLADSTONE_HAY_POINT,myshiptracking_zone,58,True,12
