route_id,origin,destination,vessel_class,cargo_type,scenario,alternative_value_usd,sail_value_usd,kill_penalty_threshold_usd,threshold_interpretation,threshold_status
3,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,coal,bull,0.0,909625.3438931692,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
3,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,coal,bull,250000.0,909625.3438931692,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
3,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,coal,bull,500000.0,909625.3438931692,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
3,"East Kalimantan, Indonesia","Navlakhi, India",Supramax,coal,bull,1000000.0,909625.3438931692,90374.65610683081,KILL if kill penalty is BELOW threshold,KILL_POSSIBLE
4,"Hay Point, Australia","Visakhapatnam, India",Panamax,metallurgical coal,bear,0.0,709746.6183481847,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
4,"Hay Point, Australia","Visakhapatnam, India",Panamax,metallurgical coal,bear,250000.0,709746.6183481847,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
4,"Hay Point, Australia","Visakhapatnam, India",Panamax,metallurgical coal,bear,500000.0,709746.6183481847,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
4,"Hay Point, Australia","Visakhapatnam, India",Panamax,metallurgical coal,bear,1000000.0,709746.6183481847,290253.38165181526,KILL if kill penalty is BELOW threshold,KILL_POSSIBLE
4,"Hay Point, Australia","Visakhapatnam, India",Panamax,metallurgical coal,base,0.0,1087838.7486868748,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
4,"Hay Point, Australia","Visakhapatnam, India",Panamax,metallurgical coal,base,250000.0,1087838.7486868748,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
4,"Hay Point, Australia","Visakhapatnam, India",Panamax,metallurgical coal,base,500000.0,1087838.7486868748,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
4,"Hay Point, Australia","Visakhapatnam, India",Panamax,metallurgical coal,base,1000000.0,1087838.7486868748,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
4,"Hay Point, Australia","Visakhapatnam, India",Panamax,metallurgical coal,bull,0.0,1788425.324057357,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
4,"Hay Point, Australia","Visakhapatnam, India",Panamax,metallurgical coal,bull,250000.0,1788425.324057357,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
4,"Hay Point, Australia","Visakhapatnam, India",Panamax,metallurgical coal,bull,500000.0,1788425.324057357,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
4,"Hay Point, Australia","Visakhapatnam, India",Panamax,metallurgical coal,bull,1000000.0,1788425.324057357,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
5,"Hay Point, Australia","Paradip, India",Panamax,metallurgical coal,bear,0.0,594341.9128341745,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
5,"Hay Point, Australia","Paradip, India",Panamax,metallurgical coal,bear,250000.0,594341.9128341745,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
5,"Hay Point, Australia","Paradip, India",Panamax,metallurgical coal,bear,500000.0,594341.9128341745,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
5,"Hay Point, Australia","Paradip, India",Panamax,metallurgical coal,bear,1000000.0,594341.9128341745,405658.08716582553,KILL if kill penalty is BELOW threshold,KILL_POSSIBLE
5,"Hay Point, Australia","Paradip, India",Panamax,metallurgical coal,base,0.0,936734.3570464647,0.0,KILL cannot beat SAIL with any non-negative penalty,KILL_NOT_PREFERABLE
