route_id,origin,destination,vessel_class,cargo_type,scenario,contract_volume_mt,contract_freight_usd_per_mt,scenario_route_freight_rate,total_voyage_cost_usd,sail_value_usd,kill_penalty_usd,alternative_value_usd,kill_value_usd,incremental_sail_value_usd,decision
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,1000000.0,500000.0,-500000.0,3245505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,1000000.0,1000000.0,0.0,2745505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,1500000.0,0.0,-1500000.0,4245505.623686874,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,1500000.0,250000.0,-1250000.0,3995505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,1500000.0,500000.0,-1000000.0,3745505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,1500000.0,1000000.0,-500000.0,3245505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,2000000.0,0.0,-2000000.0,4745505.623686874,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,2000000.0,250000.0,-1750000.0,4495505.623686874,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,2000000.0,500000.0,-1500000.0,4245505.623686874,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,base,69943.75,47.0,47.0,541850.6263131252,2745505.6236868748,2000000.0,1000000.0,-1000000.0,3745505.6236868748,SAIL
0,"Queensland (Gladstone / Hay Point), Australia","Visakhapatnam & Haldia, India",Panamax,coking coal,bull,69943.75,47.0,67.20481298309544,541850.6263131252,4158706.011773256,0.0,0.0,0.0,4158706.011773256,SAIL
