candidate_id,imo,vessel_name,mmsi,vessel_dwt,vessel_dwt_class,vessel_built,ais_lat,ais_lon,ais_speed_knots,ais_course,ais_freshness_minutes,next_port,next_port_eta,route,required_vessel_class,class_compatible,match_type,reposition_distance_km,voyage_distance_nm,voyage_speed_knots,voyage_days,source,api_calls,credits_consumed
IMO_9603398,9603398,CAPE RAINBOW,373033000,207886.0,VLOC_OR_VERY_LARGE,2012.0,-23.79231,151.53191,3.9,208.0,73.3,GLADSTONE,2026-08-28T05:58:59Z,10,Supramax,True,STRONG,8563.230617629506,2579.0639841663437,12.0,8.95508327835536,AIS_LOCAL_ENRICHED,0,0
IMO_9603398,9603398,CAPE RAINBOW,373033000,207886.0,VLOC_OR_VERY_LARGE,2012.0,-23.79231,151.53191,3.9,208.0,73.3,GLADSTONE,2026-08-28T05:58:59Z,11,Panamax,True,STRONG,8721.063763123377,4926.710066752748,12.0,17.10663217622482,AIS_LOCAL_ENRICHED,0,0
IMO_9603398,9603398,CAPE RAINBOW,373033000,207886.0,VLOC_OR_VERY_LARGE,2012.0,-23.79231,151.53191,3.9,208.0,73.3,GLADSTONE,2026-08-28T05:58:59Z,12,Handysize,True,STRONG,8563.230617629506,4601.384016575973,12.0,15.977027835333239,AIS_LOCAL_ENRICHED,0,0
IMO_9603398,9603398,CAPE RAINBOW,373033000,207886.0,VLOC_OR_VERY_LARGE,2012.0,-23.79231,151.53191,3.9,208.0,73.3,GLADSTONE,2026-08-28T05:58:59Z,13,Supramax,True,STRONG,10203.06514041525,3925.9038662092103,12.0,13.631610646559757,AIS_LOCAL_ENRICHED,0,0
IMO_9603398,9603398,CAPE RAINBOW,373033000,207886.0,VLOC_OR_VERY_LARGE,2012.0,-23.79231,151.53191,3.9,208.0,73.3,GLADSTONE,2026-08-28T05:58:59Z,14,Supramax,True,STRONG,8563.230617629506,2752.598463285374,12.0,9.557633553074215,AIS_LOCAL_ENRICHED,0,0
IMO_9603398,9603398,CAPE RAINBOW,373033000,207886.0,VLOC_OR_VERY_LARGE,2012.0,-23.79231,151.53191,3.9,208.0,73.3,GLADSTONE,2026-08-28T05:58:59Z,15,Panamax,True,STRONG,8721.063763123377,5565.87430627969,12.0,19.325952452360035,AIS_LOCAL_ENRICHED,0,0
IMO_9603398,9603398,CAPE RAINBOW,373033000,207886.0,VLOC_OR_VERY_LARGE,2012.0,-23.79231,151.53191,3.9,208.0,73.3,GLADSTONE,2026-08-28T05:58:59Z,16,Capesize,False,POSITION_CAPACITY_INCOMPATIBLE,8910.71630761098,4164.634114888308,12.0,14.46053512113996,AIS_LOCAL_ENRICHED,0,0
IMO_9603398,9603398,CAPE RAINBOW,373033000,207886.0,VLOC_OR_VERY_LARGE,2012.0,-23.79231,151.53191,3.9,208.0,73.3,GLADSTONE,2026-08-28T05:58:59Z,17,Panamax,True,STRONG,8544.826631801037,4732.350582884308,12.0,16.43177285723718,AIS_LOCAL_ENRICHED,0,0
IMO_9603398,9603398,CAPE RAINBOW,373033000,207886.0,VLOC_OR_VERY_LARGE,2012.0,-23.79231,151.53191,3.9,208.0,73.3,GLADSTONE,2026-08-28T05:58:59Z,18,Panamax,True,STRONG,8544.826631801037,4736.344187320068,12.0,16.44563953930579,AIS_LOCAL_ENRICHED,0,0
IMO_9603398,9603398,CAPE RAINBOW,373033000,207886.0,VLOC_OR_VERY_LARGE,2012.0,-23.79231,151.53191,3.9,208.0,73.3,GLADSTONE,2026-08-28T05:58:59Z,19,Capesize,False,POSITION_CAPACITY_INCOMPATIBLE,10203.06514041525,3938.9061722773454,12.0,13.676757542629671,AIS_LOCAL_ENRICHED,0,0
